Date,Hs,P,W
"2012-6-20-5",1.4557,101870.0000,7.1000
"2012-6-20-6",1.5347,101820.0000,7.1000
"2012-6-20-7",1.4702,101830.0000,6.6000
"2012-6-20-8",1.4254,101810.0000,7.1000
"2012-6-20-9",1.4924,101770.0000,7.0000
"2012-6-20-10",1.4997,101770.0000,7.1000
"2012-6-20-11",1.4635,101820.0000,6.6000
"2012-6-20-12",1.3052,101870.0000,6.6000
"2012-6-20-13",1.3617,101890.0000,6.2000
"2012-6-20-14",1.3415,101910.0000,4.8000
"2012-6-20-15",1.2261,101910.0000,5.1000
"2012-6-20-16",1.3456,101860.0000,5.3000
"2012-6-20-17",1.3074,101810.0000,4.6000
"2012-6-20-18",1.3762,101760.0000,5.0000
"2012-6-20-19",1.3502,101730.0000,4.2000
"2012-6-20-20",1.4217,101740.0000,3.4000
"2012-6-20-21",1.3385,101740.0000,3.4000
"2012-6-20-22",1.2880,101720.0000,2.9000
"2012-6-20-23",1.3623,101760.0000,3.0000
"2012-6-21-0",1.3814,101760.0000,2.8000
"2012-6-21-1",1.3286,101800.0000,4.3000
"2012-6-21-2",1.2988,101820.0000,6.5000
"2012-6-21-3",1.2820,101760.0000,4.5000
"2012-6-21-4",1.1886,101710.0000,4.9000
"2012-6-21-5",1.2491,101650.0000,3.1000
"2012-6-21-6",1.1815,101620.0000,3.0000
"2012-6-21-7",1.2317,101580.0000,4.6000
"2012-6-21-8",1.2773,101590.0000,3.8000
"2012-6-21-9",1.2925,101620.0000,3.5000
"2012-6-21-10",1.2365,101630.0000,2.4000
"2012-6-21-11",1.3443,101670.0000,1.1000
"2012-6-21-12",1.3997,101680.0000,1.7000
"2012-6-21-13",1.1737,101670.0000,2.5000
"2012-6-21-14",1.2072,101730.0000,1.1000
"2012-6-21-15",1.2985,101690.0000,0.0000
"2012-6-21-16",1.1955,101750.0000,1.2000
"2012-6-21-17",1.3551,101690.0000,1.4000
"2012-6-21-18",1.3749,101630.0000,2.4000
"2012-6-21-19",1.4756,101500.0000,6.1000
"2012-6-21-20",1.4071,101430.0000,6.8000
"2012-6-21-21",1.6523,101440.0000,6.1000
"2012-6-21-22",1.5923,101540.0000,6.6000
"2012-6-21-23",1.5489,101570.0000,2.3000
"2012-6-22-0",1.5246,101570.0000,3.8000
"2012-6-22-1",1.5479,101600.0000,2.3000
"2012-6-22-2",1.5459,101680.0000,3.9000
"2012-6-22-3",1.4924,101580.0000,4.2000
"2012-6-22-4",1.4860,101550.0000,3.8000
"2012-6-22-5",1.3756,101510.0000,5.9000
"2012-6-22-6",1.3045,101480.0000,6.9000
"2012-6-22-7",1.3311,101450.0000,5.3000
"2012-6-22-8",1.2837,101480.0000,4.8000
"2012-6-22-9",1.3229,101530.0000,5.7000
"2012-6-22-10",1.3231,101510.0000,6.8000
"2012-6-22-11",1.3540,101560.0000,6.8000
"2012-6-22-12",1.2750,101560.0000,6.6000
"2012-6-22-13",1.4330,101510.0000,8.8000
"2012-6-22-14",1.6930,101570.0000,11.7000
"2012-6-22-15",1.9508,101820.0000,9.1000
"2012-6-22-16",1.5127,101820.0000,7.9000
"2012-6-22-17",1.4423,101710.0000,7.9000
"2012-6-22-18",1.4398,101780.0000,5.9000
"2012-6-22-19",1.3222,101750.0000,4.9000
"2012-6-22-20",1.1675,101830.0000,7.3000
"2012-6-22-21",1.1536,101660.0000,3.6000
"2012-6-22-22",0.9904,101550.0000,5.6000
"2012-6-22-23",0.9495,101570.0000,6.1000
"2012-6-23-0",1.0670,101610.0000,3.6000
"2012-6-23-1",1.0582,101590.0000,7.2000
"2012-6-23-2",1.1015,101600.0000,6.5000
"2012-6-23-3",1.0555,101690.0000,6.4000
"2012-6-23-4",1.1303,101670.0000,6.6000
"2012-6-23-5",1.0580,101620.0000,6.8000
"2012-6-23-6",1.1076,101650.0000,6.3000
